scenario,time,pair,Q_real,Q_imag,R,delta
spread,7.9,BC,-0.012168503767576024,-0.0002578481298196834,0.012171235335805624,-3.120406026768496
spread,7.9,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,8.0,AB,0.016333277654999638,0.009649880099232924,0.018970928941010826,0.5336354838298606
spread,8.0,BC,-0.012043656324110835,2.586191484467079e-05,0.012043684091337431,3.1394453094280066
spread,8.0,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,8.1,AB,0.014135459866654286,0.00979448205744685,0.01719718303721404,0.6059460001228916
spread,8.1,BC,-0.011889925844566007,0.00027531750210720105,0.011893112978368835,3.1184412634892014
spread,8.1,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,8.2,AB,0.012138447925094324,0.009933973069142015,0.015685207648248253,0.6858536422382239
spread,8.2,BC,-0.011708291263071092,0.0004908341022566449,0.011718575101813572,3.0996952617650795
spread,8.2,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,8.3,AB,0.01033502651161226,0.010066875566753303,0.01442756932654364,0.7722554914823837
spread,8.3,BC,-0.011499931294621218,0.0006729963482249466,0.011519606931911026,3.0831375538347165
spread,8.3,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,8.4,AB,0.008718078495187269,0.01019168069967264,0.013411757831556851,0.8631691202149434
spread,8.4,BC,-0.011266216882222383,0.0008226417936547789,0.01129621097350524,3.068703551914579
spread,8.4,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,8.5,AB,0.007280550016563761,0.010306868754443255,0.012618952098530417,0.955802336294726
spread,8.5,BC,-0.011008701454921456,0.0009408419865858959,0.011048832126849999,3.0563363372131405
spread,8.5,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,8.6,AB,0.006015417633362762,0.010410929444330266,0.012023838871117434,1.0468615717461751
spread,8.6,BC,-0.01072910905600093,0.001028881132577218,0.010778329069041016,3.0459887667963392
spread,8.6,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,8.700000000000001,AB,0.004915658122802638,0.010502381769874867,0.011595849154782737,1.133032388321249
spread,8.700000000000001,BC,-0.010429320429285861,0.0010882326509508286,0.010485941775506618,3.0376253000843367
spread,8.700000000000001,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,8.8,AB,0.003974221464480529,0.010579793162288199,0.011301613141739452,1.2114623626710352
spread,8.8,BC,-0.010111357179584921,0.0011205339535203867,0.010173256133320126,3.0312236521833107
spread,8.8,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,8.9,AB,0.003184007447341174,0.010641797635907987,0.011107914311352104,1.2800752262023023
spread,8.9,BC,-0.009777364150367363,0.0011275597962985685,0.009842166469996217,3.0267763668854246
spread,8.9,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,9.0,AB,0.0025378462636693913,0.010687112694187288,0.01098430887203559,1.3376469075228619
spread,9.0,BC,-0.009429590187468221,0.0011111945709762548,0.009494836727304164,3.024292386177867
spread,9.0,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,9.1,AB,0.0020284833699169957,0.010714554755519669,0.010904880943461004,1.3836904212273895
spread,9.1,BC,-0.009070367481537778,0.0010734039142088385,0.009133660942534315,3.023798675120489
spread,9.1,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,9.200000000000001,AB,0.001648568810631725,0.010723052890286983,0.010849038778218084,1.4182500927907598
spread,9.200000000000001,BC,-0.008702089703747938,0.0010162060187815613,0.008761223652246514,3.025341939473999
spread,9.200000000000001,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,9.3,AB,0.001390651118877653,0.010711660688458798,0.010801554760269897,1.4416925212744127
spread,9.3,BC,-0.008327189168606704,0.0009416430314790618,0.008380260798357882,3.028990445771499
spread,9.3,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,9.4,AB,0.0012471758254594904,0.01067956610745124,0.010752143032113729,1.4545414030718524
spread,9.4,BC,-0.007948113274308354,0.0008517529179500485,0.007993621685723755,3.0348359155098383
spread,9.4,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,9.5,AB,0.001210488531060302,0.01062609918230968,0.010694824277009463,1.4573687421034098
spread,9.5,BC,-0.00756730048459558,0.000748542165109189,0.0076042325054608145,3.0429954110003665
spread,9.5,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,9.6,AB,0.0012728424210735091,0.010550737514130087,0.010627238113496666,1.4507363985826947
spread,9.6,BC,-0.00718715612640199,0.0006339596767978967,0.0072150618886523315,3.053613052432764
spread,9.6,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,9.700000000000001,AB,0.001426410033366101,0.01045310948747457,0.010549983106167438,1.4351760087956378
spread,9.700000000000001,BC,-0.006810028284394765,0.0005098721987522317,0.006829088877245422,3.066861294203765
spread,9.700000000000001,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,9.8,AB,0.0016632990252677723,0.010332995202852038,0.010466009435769679,1.4111957232078607
spread,9.8,BC,-0.0064381840768081965,0.0003780415846838022,0.006449273575110367,3.0829413326749338
spread,9.8,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,9.9,AB,0.001975571628449113,0.010190325145605111,0.01038005827692142,1.3793044117404667
spread,9.9,BC,-0.006073786596559242,0.00024010418681848418,0.006078530549488952,3.1020820075551687
spread,9.9,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,10.0,AB,0.0023552674296301156,0.010025176647251855,0.010298128542297402,1.3400457240875858
spread,10.0,BC,-0.005718872797524056,9.755262196895148e-05,0.005719704764086486,3.124536292091057
spread,10.0,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,10.1,AB,0.0027944290717274367,0.009837768228968336,0.0102269505505705,1.2940349873047403
spread,10.1,BC,-0.005375332598040829,-4.8279871397454224e-05,0.005375549412436139,-3.132611149225982
spread,10.1,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,10.200000000000001,AB,0.0032851304344668863,0.00962845194897597,0.010173454128524871,1.241991617600078
spread,10.200000000000001,BC,-0.005044889462248419,-0.00019623230808083164,0.005048704467983828,-3.102715006601613
spread,10.200000000000001,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,10.3,AB,0.0038195068258922342,0.009397703905649818,0.010144233391011033,1.184759345971722
spread,10.3,BC,-0.004729082704885722,-0.00034532592677534663,0.004741674095227603,-3.0687002715236855
spread,10.3,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,10.4,AB,0.004389786696710556,0.009146113075756482,0.010145028912582786,1.1233072387918035
spread,10.4,BC,-0.004429251746822701,-0.0004947711625417836,0.0044568003702224425,-3.0303484684512974
spread,10.4,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,10.5,AB,0.004988324378021552,0.008874368691964663,0.01018026521173622,1.0587072021567296
spread,10.5,BC,-0.004146522527080594,-0.0006439715707842646,0.00419623026674719,-2.987519490852671
spread,10.5,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,10.6,AB,0.005607633339564417,0.00858324638529308,0.010252690875162535,0.9920885373381149
spread,10.6,BC,-0.0038817962526786565,-0.0007925246963737388,0.003961872984040799,-2.9401960653982475
spread,10.6,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,10.700000000000001,AB,0.006240419469947033,0.008273593336161357,0.010363164663994662,0.924576009159372
spread,10.700000000000001,BC,-0.003635740640614349,-0.0009402199253822773,0.0037553459912371178,-2.8885319093852666
spread,10.700000000000001,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,10.8,AB,0.006879613892062748,0.007946312691934312,0.01051061238472141,0.8572226045269548
spread,10.8,BC,-0.003408783776976124,-0.0010870333999248795,0.003577911185416409,-2.8328952387228012
spread,10.8,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,10.9,AB,0.007518404845613783,0.007602347519098105,0.010692151290721897,0.7909495942477139
spread,10.9,BC,-0.003201110686970641,-0.0012331201182347222,0.0034304073892517293,-2.773895419201695
spread,10.9,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,11.0,AB,0.008150268193827538,0.007242664564335961,0.010903350935506232,0.7265039908043559
spread,11.0,BC,-0.0030126626769151456,-0.0013788033817276305,0.0033131910856968516,-2.7123792240740023
spread,11.0,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,11.1,AB,0.00876899614247097,0.006868238100699419,0.011138581056605456,0.6644382310307372
spread,11.1,BC,-0.002843139475421342,-0.0015245617878798159,0.003226101474188691,-2.6493869184509005
spread,11.1,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,11.200000000000001,AB,0.009368723795474364,0.006480034132777581,0.011391392711949232,0.6051112128396822
spread,11.200000000000001,BC,-0.0026920041665163025,-0.001671014001718413,0.0031684655949655058,-2.586068116990359
spread,11.200000000000001,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,11.3,AB,0.009943953212145907,0.006078995228291599,0.011654886892241336,0.5487057058706348
spread,11.3,BC,-0.0025584908727591432,-0.0018189015691279925,0.0031391525073127804,-2.5235703711796895
spread,11.3,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,11.4,AB,0.010489574675330614,0.005666026232985868,0.011922039680449876,0.4952554776784161
spread,11.4,BC,-0.002441615111975238,-0.001969070061574237,0.003136673598322564,-2.4629238057358456
spread,11.4,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,11.5,AB,0.011000884927144332,0.005241981111211841,0.012185968781782313,0.4446758937653818
spread,11.5,BC,-0.0023401867174974588,-0.002122448863868555,0.0031593136996012996,-2.4049471419269133
spread,11.5,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,11.6,AB,0.011473602178286559,0.004807651136420933,0.012440138921857406,0.39679334172539654
spread,11.6,BC,-0.002252825179226381,-0.002280029933934199,0.0032052703143092883,-2.350192880302856
spread,11.6,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,11.700000000000001,AB,0.011903877747584266,0.0043637546341714194,0.012678511739817272,0.35137070145424143
spread,11.700000000000001,BC,-0.002177977231834227,-0.0024428458759465812,0.003272778757572455,-2.2989364824332843
spread,11.700000000000001,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,11.8,AB,0.012288304239535735,0.003910928455530084,0.012895649749728271,0.308127671542879
spread,11.8,BC,-0.0021139364874586037,-0.0026119476755381275,0.003360208049028787,-2.2512025112804883
spread,11.8,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,11.9,AB,0.012623920218415307,0.0034497213312784476,0.013086784897154546,0.2667558547306956
spread,11.9,BC,-0.002058864883655421,-0.0027883824478882172,0.0034661219373877394,-2.206814200907623
spread,11.9,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
spread,12.0,AB,0.012908211387207599,0.002980589227520456,0.013247861463649403,0.22692912239265225
spread,12.0,BC,-0.0020108156935686405,-0.0029731715464418186,0.0035893075652656415,-2.165452337783883
spread,12.0,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,0.0,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
echo,0.0,BC,0.00230686075417591,-0.007420739779384018,0.007771035028391611,-1.2694001544577862
echo,0.0,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,0.1,AB,0.9993803881228378,-0.0004670724860798808,0.9993804972688136,-0.0004673620351406652
echo,0.1,BC,0.0022068025291010944,-0.007403668174053019,0.007725560163116494,-1.2811122107334487
echo,0.1,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,0.2,AB,0.997523929723158,-0.000930111836317929,0.9975243633507704,-0.0009324203049718039
echo,0.2,BC,0.002124310926558702,-0.007404488125561362,0.007703190333509611,-1.2914053666445529
echo,0.2,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,0.3,AB,0.9944377412458494,-0.0013851242114474775,0.9944387058955559,-0.0013928708236246596
echo,0.3,BC,0.0020578804381924188,-0.007423833706241303,0.007703776917578773,-1.30038672973
echo,0.3,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,0.4,AB,0.9901336327314814,-0.0018281940355736176,0.990135320529205,-0.0018464093103810128
echo,0.4,BC,0.002005934016058212,-0.0074622952322310485,0.00772720010157351,-1.308194663107096
echo,0.4,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,0.5,AB,0.9846280322205572,-0.002255521966541811,0.9846306156188056,-0.0022907310654241434
echo,0.5,BC,0.001966840635722478,-0.007520408263936281,0.007773352078904589,-1.3149921644935179
echo,0.5,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,0.6,AB,0.977941880825969,-0.002663461556894954,0.9779455078381918,-0.0027235309414565686
