theta,c,C_AB,C_AC,C_BC,three_tangle,S_fixed,S_twirl,D_C
0.39269908169872414,0.9238795325112867,0.9238795325112863,0.0,0.0,0.14644660940672638,2.7229053531794105,2.720776527249471,0.3826834323650898
0.41887902047863906,0.9135454576426009,0.9135454576426004,0.0,0.0,0.16543469682057133,2.708922518773417,2.706161938415596,0.40673664307580015
0.445058959258554,0.9025852843498606,0.9025852843498596,0.0,0.0,0.18533980447508258,2.6941864787166594,2.690661912699044,0.4305110968082951
0.47123889803846897,0.8910065241883679,0.8910065241883677,0.0,0.0,0.20610737385376354,2.6787255373749925,2.674287073043196,0.45399049973954675
0.4974188368183839,0.8788171126619654,0.8788171126619654,0.0,0.0,0.22768048249248574,2.662569824442178,2.657048641945209,0.47715876025960835
0.5235987755982988,0.8660254037844387,0.8660254037844379,0.0,0.0,0.2500000000000008,2.64575131106459,2.638958433764684,0.49999999999999994
0.5497787143782138,0.8526401643540923,0.8526401643540923,0.0,0.0,0.2730047501302263,2.6283038255649007,2.6200288466266763,0.5224985647159488
0.5759586531581287,0.838670567945424,0.8386705679454237,0.0,0.0,0.2966316784620997,2.610263068380579,2.6002728539246593,0.544639035015027
0.6021385919380436,0.8241261886220157,0.824126188622015,0.0,0.0,0.32081602522735064,2.5916666257623873,2.579703995429197,0.5664062369248328
0.6283185307179586,0.8090169943749475,0.8090169943749476,0.0,0.0,0.34549150281252583,2.5725539816979337,2.5583363680084634,0.5877852522924731
0.6544984694978735,0.7933533402912353,0.793353340291235,0.0,0.0,0.3705904774487395,2.5529665274352973,2.5361846159669565,0.6087614290087205
0.6806784082777885,0.7771459614569709,0.7771459614569709,0.0,0.0,0.39604415459111986,2.532947567881245,2.5132639210090213,0.6293203910498374
0.7068583470577035,0.7604059656000309,0.7604059656000307,0.0,0.0,0.4217827674798845,2.5125423240376388,2.4895899918340674,0.6494480483301837
0.7330382858376183,0.7431448254773944,0.7431448254773945,0.0,0.0,0.4477357683661727,2.4917979305183042,2.465179053370612,0.6691306063588581
0.7592182246175333,0.7253743710122876,0.7253743710122871,0.0,0.0,0.47383202187852824,2.470763427057695,2.4400478356565247,0.6883545756937539
0.7853981633974483,0.7071067811865476,0.7071067811865475,0.0,0.0,0.4999999999999999,2.449489742783178,2.4142135623730945,0.7071067811865476
0.8115781021773631,0.688354575693754,0.6883545756937539,0.0,0.0,0.5261679781214716,2.4280296718767893,2.387693939040779,0.7253743710122875
0.8377580409572781,0.6691306063588582,0.669130606358858,0.0,0.0,0.5522642316338263,2.4064378391025794,2.360507140884725,0.7431448254773941
0.8639379797371931,0.6494480483301837,0.6494480483301837,0.0,0.0,0.5782172325201149,2.384770653526149,2.3326718003783773,0.7604059656000309
