delta,E_AB,stderr_E,E_c_theory,E_singlet,E_local_branch,E_populations,E_coherence,P_pp,P_pm,P_mp,P_mm,P_A_plus,P_B_plus
-0.9599310885968815,-0.57337,0.0018320027880710224,-0.5735764363510459,-0.5735764363510459,-0.28642,-0.2871222319091588,-0.28645420444188713,0.10622,0.39359,0.393095,0.107095,0.49981,0.499315
-0.8726646259971647,-0.64379,0.0017110441781263278,-0.6427876096865395,-0.6427876096865395,-0.32261,-0.32108925124766735,-0.32169835843887207,0.089535,0.411,0.410895,0.08857,0.500535,0.50043
-0.7853981633974483,-0.70695,0.0015814893257622702,-0.7071067811865476,-0.7071067811865476,-0.35182,-0.3541680660730192,-0.3529387151135283,0.0734,0.42616,0.427315,0.073125,0.49956,0.500715
-0.6981317007977319,-0.76655,0.0014359684841597326,-0.766044443118978,-0.766044443118978,-0.38188,-0.3835253349311926,-0.3825191081877854,0.058455,0.44109,0.442185,0.05827,0.499545,0.50064
-0.6108652381980155,-0.8201,0.0012795233292128751,-0.8191520442889917,-0.8191520442889917,-0.40841,-0.4104536604609698,-0.40869838382802176,0.045155,0.456545,0.453505,0.044795,0.5017,0.49866
-0.5235987755982987,-0.8677,0.0011115230766835208,-0.8660254037844387,-0.8660254037844387,-0.43065,-0.4324067972279965,-0.4336186065564422,0.03318,0.466845,0.467005,0.03297,0.500025,0.500185
-0.43633231299858233,-0.9079,0.0009373302246273721,-0.9063077870366499,-0.9063077870366499,-0.45179,-0.453472760529864,-0.4528350265067859,0.02312,0.4769,0.47705,0.02293,0.50002,0.50017
-0.34906585039886595,-0.93974,0.0007644891510021576,-0.9396926207859083,-0.9396926207859083,-0.47046,-0.4694989428161525,-0.47019367796975586,0.01491,0.485975,0.483895,0.01522,0.500885,0.498805
-0.2617993877991496,-0.96569,0.0005807014030463501,-0.9659258262890682,-0.9659258262890682,-0.48324,-0.48352593323879606,-0.4823998930502722,0.00894,0.49134,0.491505,0.008215,0.50028,0.500445
-0.1745329251994332,-0.98478,0.0003886409113822168,-0.984807753012208,-0.984807753012208,-0.4895,-0.4930077207473611,-0.491800032264847,0.00372,0.494235,0.498155,0.00389,0.497955,0.501875
-0.08726646259971638,-0.9959,0.00020227691415482891,-0.9961946980917455,-0.9961946980917455,-0.49822,-0.4982129451451436,-0.497981752946602,0.00105,0.50013,0.49782,0.001,0.50118,0.49887
0.0,-1.0,0.0,-1.0,-1.0,-0.49787,-0.4990578727427197,-0.5009421272572803,0.0,0.500275,0.499725,0.0,0.500275,0.499725
0.08726646259971638,-0.99635,0.00019087531925317264,-0.9961946980917455,-0.9961946980917455,-0.49759,-0.4999832168267957,-0.4962114812649499,0.000865,0.5013,0.496875,0.00096,0.502165,0.49774
0.17453292519943275,-0.98503,0.0003854601088309921,-0.9848077530122081,-0.9848077530122081,-0.49212,-0.4925386877890324,-0.49226906522317554,0.003815,0.497015,0.4955,0.00367,0.50083,0.499315
0.2617993877991496,-0.96562,0.0005812831306686956,-0.9659258262890682,-0.9659258262890682,-0.48684,-0.4841540891666594,-0.48177173712240884,0.008525,0.492975,0.489835,0.008665,0.5015,0.49836
